Element;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Li;0;0.10582;0.52218;1.03982;5.12935;10.2561;50.06715;99.07392;200.17946;;;;;;;;
Be;0;0.10961;0.54087;1.07704;5.31296;10.62322;51.85931;102.62028;207.3449;;;;;;;;
B;0;0.10316;0.50904;1.01366;5.00032;9.9981;48.80766;96.58162;195.14375;;;;;;;;
Na;;;;;;;;;;0;10.86093;54.93223;102.73652;524.09131;1068.30431;5224.36343;20322.61853
Mg;;;;;;;;;;0;10.92079;55.23499;103.30276;526.97984;1074.19227;5253.15751;20434.62668
Al;;;;;;;;;;0;11.0265;55.76961;104.30263;532.08051;1084.58944;5304.00311;20632.41455
Si;;;;;;;;;;0;11.03753;55.82543;104.40704;532.61312;1085.67511;5309.31243;20653.06762
P;;;;;;;;;;0;10.84702;54.86185;102.6049;523.41987;1066.93564;5217.67017;20296.58197
K;;;;;;;;;;0;10.86882;54.97213;102.81114;524.47197;1069.08023;5228.15795;20337.37912
Ca;;;;;;;;;;0;11.21773;56.73684;106.11159;541.3086;1103.39992;5395.99261;20990.25097
Ca;;;;;;;;;;0;11.21773;56.73684;106.11159;541.3086;1103.39992;5395.99261;20990.25097
Ti;;;;;;;;;;0;10.90508;55.15553;103.15415;526.22176;1072.64701;5245.60068;20405.23081
V;0;0.2127;1.04958;2.09004;10.31006;20.6149;100.6356;199.13982;402.36322;;;;;;;;
Cr;0;0.10712;0.52859;1.05259;5.19237;10.3821;50.68225;100.29109;202.63877;;;;;;;;
Cr;0;0.10712;0.52859;1.05259;5.19237;10.3821;50.68225;100.29109;202.63877;;;;;;;;
Mn;;;;;;;;;;0;10.98732;55.57144;103.93201;530.18986;1080.73555;5285.15631;20559.10105
Fe;;;;;;;;;;0;10.98732;55.57144;103.93201;530.18986;1080.73555;5285.15631;20559.10105
Fe;;;;;;;;;;0;10.98732;55.57144;103.93201;530.18986;1080.73555;5285.15631;20559.10105
Co;0;0.10994;0.5425;1.08029;5.32901;10.65532;52.01598;102.93031;207.97132;;;;;;;;
Ni;0;0.1095;0.54032;1.07595;5.30761;10.61252;51.80708;102.51693;207.13609;;;;;;;;
Cu;0;0.10819;0.53388;1.06312;5.24429;10.48593;51.18908;101.294;204.66515;;;;;;;;
Cu;0;0.10819;0.53388;1.06312;5.24429;10.48593;51.18908;101.294;204.66515;;;;;;;;
Zn;0;0.10819;0.53388;1.06312;5.24429;10.48593;51.18908;101.294;204.66515;;;;;;;;
Zn;0;0.10819;0.53388;1.06312;5.24429;10.48593;51.18908;101.294;204.66515;;;;;;;;
Zn;0;0.10819;0.53388;1.06312;5.24429;10.48593;51.18908;101.294;204.66515;;;;;;;;
Ga;0;0.10917;0.53869;1.0727;5.29156;10.58043;51.65041;102.2069;206.50967;;;;;;;;
Ge;0;0.10972;0.54141;1.07812;5.31831;10.63392;51.91153;102.72362;207.5537;;;;;;;;
As;0;0.10939;0.53978;1.07487;5.30226;10.60182;51.75486;102.41359;206.92728;;;;;;;;
Se;0;0.11038;0.54468;1.08463;5.35041;10.69811;52.22488;103.34368;208.80654;;;;;;;;
Se;0;0.11038;0.54468;1.08463;5.35041;10.69811;52.22488;103.34368;208.80654;;;;;;;;
Se;0;0.11038;0.54468;1.08463;5.35041;10.69811;52.22488;103.34368;208.80654;;;;;;;;
Se;0;0.11038;0.54468;1.08463;5.35041;10.69811;52.22488;103.34368;208.80654;;;;;;;;
Rb;0;0.10712;0.52859;1.05259;5.19237;10.3821;50.68225;100.29109;202.63877;;;;;;;;
Sr;0;0.10691;0.52754;1.05048;5.18199;10.36134;50.58089;100.09051;202.23349;;;;;;;;
Y;0;0.01043;0.05148;0.10251;0.50567;1.01108;4.9358;9.76706;19.7344;;;;;;;;
Zr;0;0.00831;0.041;0.08165;0.40279;0.80537;3.93158;7.77988;15.7193;;;;;;;;
Nb;0;0.00849;0.04192;0.08347;0.41176;0.8233;4.01912;7.95312;16.06933;;;;;;;;
Mo;0;0.21292;1.05063;2.09214;10.32039;20.63555;100.73644;199.33936;402.76639;;;;;;;;
Mo;0;0.21292;1.05063;2.09214;10.32039;20.63555;100.73644;199.33936;402.76639;;;;;;;;
Cd;0;0.10972;0.54141;1.07812;5.31831;10.63392;51.91153;102.72362;207.5537;;;;;;;;
Sn;0;0.21313;1.05169;2.09423;10.33073;20.65621;100.83728;199.5389;403.16956;;;;;;;;
Sb;0;0.21185;1.04538;2.08166;10.26874;20.53227;100.23225;198.34166;400.75054;;;;;;;;
Cs;0;0.11038;0.54468;1.08463;5.35041;10.69811;52.22488;103.34368;208.80654;;;;;;;;
Ba;0;0.10712;0.52859;1.05259;5.19237;10.3821;50.68225;100.29109;202.63877;;;;;;;;
La;0;0.01044;0.05153;0.10261;0.50618;1.0121;4.94077;9.77689;19.75427;;;;;;;;
Ce;0;0.01046;0.05163;0.10282;0.5072;1.01414;4.95071;9.79656;19.79402;;;;;;;;
Pr;0;0.01046;0.05163;0.10282;0.5072;1.01414;4.95071;9.79656;19.79402;;;;;;;;
Nd;0;0.01043;0.05148;0.10251;0.50567;1.01108;4.9358;9.76706;19.7344;;;;;;;;
Sm;0;0.01041;0.05137;0.1023;0.50465;1.00905;4.92586;9.74738;19.69465;;;;;;;;
Eu;0;0.01045;0.05158;0.10272;0.50669;1.01312;4.94574;9.78673;19.77414;;;;;;;;
Gd;0;0.01047;0.05169;0.10292;0.50771;1.01516;4.95568;9.8064;19.81389;;;;;;;;
Tb;0;0.0105;0.05179;0.10313;0.50873;1.01719;4.96562;9.82607;19.85364;;;;;;;;
Dy;0;0.01051;0.05184;0.10323;0.50923;1.01821;4.97059;9.83591;19.87351;;;;;;;;
Ho;0;0.01045;0.05158;0.10272;0.50669;1.01312;4.94574;9.78673;19.77414;;;;;;;;
Er;0;0.01061;0.05236;0.10426;0.51433;1.02839;5.0203;9.93427;20.07225;;;;;;;;
Tm;0;0.01051;0.05184;0.10323;0.50923;1.01821;4.97059;9.83591;19.87351;;;;;;;;
Yb;0;0.01046;0.05163;0.10282;0.5072;1.01414;4.95071;9.79656;19.79402;;;;;;;;
Lu;0;0.01044;0.05153;0.10261;0.50618;1.0121;4.94077;9.77689;19.75427;;;;;;;;
Hf;0;0.00841;0.0415;0.08264;0.40768;0.81515;3.97933;7.87438;15.91023;;;;;;;;
Ta;0;0.00849;0.04192;0.08347;0.41176;0.8233;4.01912;7.95312;16.06933;;;;;;;;
W;0;0.21185;1.04538;2.08166;10.26874;20.53227;100.23225;198.34166;400.75054;;;;;;;;
Re;0;0.10972;0.54141;1.07812;5.31831;10.63392;51.91153;102.72362;207.5537;;;;;;;;
Tl;0;0.10917;0.53869;1.0727;5.29156;10.58043;51.65041;102.2069;206.50967;;;;;;;;
Pb;0;0.11016;0.54359;1.08246;5.33971;10.67671;52.12043;103.137;208.38893;;;;;;;;
Pb;0;0.11016;0.54359;1.08246;5.33971;10.67671;52.12043;103.137;208.38893;;;;;;;;
Pb;0;0.11016;0.54359;1.08246;5.33971;10.67671;52.12043;103.137;208.38893;;;;;;;;
Bi;0;0.10983;0.54196;1.0792;5.32366;10.64462;51.96376;102.82696;207.76251;;;;;;;;
Th;0;0.01045;0.05158;0.10272;0.50669;1.01312;4.94574;9.78673;19.77414;;;;;;;;
U;0;0.01047;0.05169;0.10292;0.50771;1.01516;4.95568;9.8064;19.81389;;;;;;;;
