Sample;;;;7  Li  [ No Gas ] ;;;;44  Ca  [ He ] ;;;;88  Sr  [ No Gas ] ;;;;45  Sc ( ISTD )  [ He ] ;;115  In ( ISTD )  [ No Gas ] ;
Acq. Date-Time;Type;Level;Sample Name;CPS;CPS RSD;Conc. [ ppb ];Conc. RSD;CPS;CPS RSD;Conc. [ ppb ];Conc. RSD;CPS;CPS RSD;Conc. [ ppb ];Conc. RSD;CPS;CPS RSD;CPS;CPS RSD
19/12/2018 10:42;Sample;;0;341.13;4.820370923;;;16.34;25.00410085;;;117.7833333;11.7835923;;;35278.59667;0.442677848;274124.3567;0.806537661
19/12/2018 10:46;Sample;;0;318.9033333;12.24997139;;;10.45333333;10.82531755;;;121.12;20.83947047;;;35086.54333;0.314670039;272245.03;0.15014642
19/12/2018 10:50;Sample;;0;316.68;8.354652365;;;12.41666667;55.4779699;;;171.12;6.839961345;;;35052.58667;0.812889202;271809.8867;0.39796631
19/12/2018 10:54;Sample;;0;314.4633333;5.438948163;;;15.03;37.68334092;;;146.6766667;18.60402729;;;35297.61333;1.195746746;272960.1133;0.706593288
19/12/2018 10:58;CalBlk;1;0;274.4566667;6.233777912;0;N/A;18.95333333;59.73534354;;;142.23;13.7306377;0;N/A;34916.94667;1.347391378;272905.0933;0.594766344
19/12/2018 11:02;CalStd;2;Traces 0.1 ppb;2565.896667;2.014876022;0.108563471;2.256207306;62.74666667;24.99734424;;;17423.81667;0.922699319;0.107989205;0.930293271;35185.66;1.737852776;274207.58;0.344479528
19/12/2018 11:06;CalStd;3;Traces 0.5 ppb;11723.38667;0.597417489;0.542425539;0.611738934;106.5433333;1.062109183;;;84991.49667;1.003121309;0.530206229;1.004802808;35306.2;0.871450137;274952.57;0.524306911
19/12/2018 11:10;CalStd;4;Traces 1 ppb;22926.24333;0.488607771;1.073192655;0.494527907;130.72;12.48918756;;;168770.7067;0.927852574;1.053725886;0.928635173;35554.57667;0.793476821;276939.8467;0.758888793
19/12/2018 11:14;CalStd;5;Traces 5 ppb;110859.4667;0.238871737;5.239278571;0.239464584;500.0233333;7.347938074;;;827930.8067;0.481058603;5.172686537;0.481141258;35618.21667;0.750851752;282407.3067;0.404799751
19/12/2018 11:18;CalStd;6;Traces 10 ppb;221288.3033;0.651103523;10.47115799;0.651912068;1049.09;7.4132573;;;1642241.99;0.562962577;10.26115552;0.563011338;36094.60333;0.945431711;283509.9633;0.257873576
19/12/2018 11:22;CalStd;7;Traces 50 ppb;1093219.4;1.587991366;51.7813673;1.588390137;4768.976667;3.420636993;;;8064218.837;0.812151995;50.39081436;0.812166319;43666.88333;0.673070631;333605.61;0.457820072
19/12/2018 11:26;CalStd;8;Traces 100 ppb;2135435.803;0.3371742;101.1593261;0.337217541;9361.773333;3.836222092;;;15995019.9;0.574177566;99.94881631;0.574182672;52059.33667;0.221693253;397937.9367;0.834270353
19/12/2018 11:30;CalStd;9;Traces 200 ppb;4194314.207;0.486565715;198.7045314;0.486597556;18405.00333;0.348732385;;;32383392.57;0.478036974;202.3565048;0.478039073;70330.71333;0.593835315;528804.2567;0.897083247
19/12/2018 11:34;CalBlk;10;0;761.1633333;3.974639416;0.023059109;6.215961264;10.46;57.29784563;0;N/A;157.7833333;22.78729242;9.72E-05;231.1694142;33165.24;0.582951302;270296.37;0.528882953
19/12/2018 11:38;CalStd;11;Majeurs 10 ppb;912.29;2.487507848;0.030219164;3.557870711;32.68;9.174774156;1.278107206;13.49377225;1952.453333;4.33464204;0.011311726;4.675216667;33294.32667;3.187447067;270049.3767;1.68493521
19/12/2018 11:42;CalStd;12;Majeurs 50 ppb;1755.743333;3.344949286;0.070180158;3.964710236;23.53;16.65958351;0.751793933;29.99234889;8268.59;0.646043392;0.050780011;0.657350638;33493.56667;1.823495053;270895.5567;0.226954182
19/12/2018 11:46;CalStd;13;Majeurs 100 ppb;666.7066667;13.42621017;0.018583957;22.82050689;1992.36;2.136322341;114.0000302;2.147597345;337.7966667;7.13827412;0.001222057;12.32973515;33994.82667;1.172164153;272488.7467;0.672454751
19/12/2018 11:50;CalStd;14;Majeurs 500 ppb;638.93;9.220378927;0.017267958;16.16353288;9832.703333;3.16582613;564.9810974;3.169197513;767.83;2.54463518;0.00390925;3.123157338;33545.95667;0.360498037;274496.41;0.577562115
19/12/2018 11:54;CalStd;15;Majeurs 1000 ppb;587.8133333;15.6174094;0.014846161;29.29607841;19975.94;0.414210977;1148.425916;0.414427984;1534.6;1.026579875;0.008700644;1.13144457;33884.77333;0.301670044;272058.19;0.626246638
19/12/2018 11:58;CalStd;16;Majeurs 5000 ppb;862.2866667;8.784492754;0.027850114;12.88595508;95732.97333;0.884221123;5506.014134;0.884317746;4105.286667;3.232792333;0.024764355;3.348813902;33293.69667;1.344821526;267128.03;0.828473144
19/12/2018 12:02;CalStd;17;Majeurs 20000 ppb;1319.01;4.306705452;0.049488677;5.438293457;364386.2767;1.229978634;20959.10697;1.230013943;14284.19;2.131592893;0.088370302;2.153030972;32761.60333;1.366761276;253389.04;0.663135373
19/12/2018 12:06;Sample;;0;686.71;8.166720574;0.019531671;13.60369518;13.07333333;37.77045252;0.150320439;188.9486158;202.23;4.148865299;0.000374928;13.98375049;33657.95667;2.057349599;267266.2667;1.041181333
19/12/2018 12:10;Sample;;0;696.71;11.0364825;0.02000545;18.20998703;13.07;45.85581219;0.150128704;229.6304465;185.5666667;8.100030089;0.000270802;34.68415315;33791.74667;1.111488539;266523.08;0.69626378
19/12/2018 12:14;Sample;;0;651.1533333;8.165098599;0.017847073;14.11409136;15.03333333;39.85985227;0.263060769;131.0261908;213.3433333;11.79606336;0.000444373;35.38874302;31503.66;3.658047275;281567.97;4.606569466
19/12/2018 12:18;Sample;;0;606.7066667;14.93665477;0.015741286;27.27514831;16.34;45.44775525;0.338220989;126.2952927;113.3366667;26.14164139;<0.000;N/A;34231.38333;0.980909561;265851.4833;0.795375373
19/12/2018 12:22;Sample;;Derive;21185.54667;1.874598193;0.990722212;1.89920217;2046.616667;4.823871535;117.120905;4.848652386;156619.7967;0.270553681;0.97779726;0.2707996;34616.08333;1.493949557;268974.5533;0.249420599
19/12/2018 12:26;Sample;;0;495.5833333;13.62459964;0.010476503;30.53509831;9.803333333;60.03060906;<0.000;N/A;123.3433333;4.680838871;<0.000;N/A;33669.2;0.379809171;266273.3033;0.302764455
19/12/2018 12:30;Sample;;smp1;262991.6267;0.097561364;12.44697124;0.097663285;52.29;17.72469205;2.406085708;22.15692439;2855.99;1.975508191;0.016957748;2.079045913;32739.31667;1.554596899;267456.85;0.377270937
19/12/2018 12:34;Sample;;smp2;13410.61667;1.424085415;0.622362846;1.453839144;264.7166667;1.482717772;14.62499;1.543716085;4558.78;1.218511534;0.027598144;1.257752321;34545.22;0.632710539;274731.11;0.508090621
19/12/2018 12:38;Sample;;smp3;1425.686667;4.024889374;0.054542787;4.984435009;1154112.52;1.119686709;66384.61563;1.119696857;67107472.33;0.7333771;419.3403881;0.733378654;35879.05333;1.375241145;271335.7767;1.023045091
19/12/2018 12:42;Sample;;smp4;604.48;1.68461124;0.015635792;3.085581229;557899.6467;0.689348193;32090.10754;0.689361118;29489059.01;0.271525302;184.2703887;0.271526612;36745.41667;1.951890215;274665.04;0.475427402
19/12/2018 12:46;Sample;;smp5;501.14;3.348465616;0.010739766;7.402617714;85078.80333;0.621885667;4893.180136;0.621962134;4335784.067;0.31419398;27.09256541;0.314204287;36740.95333;1.236480482;277499.2033;0.91772876
19/12/2018 12:50;Sample;;0;410.0233333;7.225946075;0.006422855;21.85497784;20.26333333;5.584503344;0.563893383;11.54307917;233.3433333;17.55405986;0.000569349;44.95634933;35424.14;0.882961726;271301.6833;0.150381504
19/12/2018 12:54;Sample;;smp6;9211.33;3.481063832;0.423409727;3.587969362;185.6266667;1.612887581;10.07568762;1.709200449;132978.5433;0.94608599;0.83006776;0.947098979;34149.46;0.983709495;268337.2233;0.335766193
19/12/2018 12:58;Sample;;smp7;1934.666667;9.391426753;0.078657159;10.9439651;133.99;11.36524082;7.105516794;12.32760154;5012.306667;3.95910833;0.030432143;4.074733609;34441.09333;0.644577609;270776.56;0.6738716
19/12/2018 13:02;Sample;;smp8;550.0333333;5.283749809;0.013056226;10.54602538;1315410.107;0.899597775;75662.54578;0.899604928;88474837.57;0.462106788;552.860813;0.462107531;36257.85;1.481998554;270997.55;0.410532358
19/12/2018 13:06;Sample;;smp9;450.0266667;10.02111108;0.008318127;25.68643399;501087.8033;0.533248699;28822.25757;0.533259831;19270097.21;0.459587578;120.4141245;0.459590971;36470.21667;0.98512784;275348.99;0.72888833
19/12/2018 13:10;Sample;;smp10;447.8033333;8.627285282;0.00821279;22.28671125;96254.94333;0.658985435;5536.03815;0.659057055;3572076.37;0.764224734;22.32030758;0.764255165;36208.66;0.296284025;277439.3033;0.541902114
19/12/2018 13:14;Sample;;0;385.5766667;8.999863117;0.005264625;31.22873669;17.65;19.23410529;0.413572944;47.21584955;281.1266667;11.01740652;0.000867938;22.29921599;35238.68;1.391990955;270610.7667;0.309974853
19/12/2018 13:18;Sample;;Derive;21048.58667;0.716322849;0.984233344;0.725786523;2070.15;2.025732991;118.4745559;2.036020542;156717.63;0.62685147;0.978408602;0.627420889;34982.4;0.587570196;270230.0367;0.372504171
19/12/2018 13:22;Sample;;0;340.0166667;3.921866667;0.003106091;20.34014691;15.03333333;39.85985227;0.263060769;131.0261908;137.7833333;11.17127725;<0.000;N/A;34343.41667;0.772760444;264239.1567;0.194999312
19/12/2018 13:26;Sample;;smp11;1292.343333;3.624313524;0.048225269;4.601551011;1326763.057;0.156075048;76315.574;0.156076278;20881.28667;2.78821964;0.129594249;2.807341459;36392.12667;0.800410778;272265.6367;0.571289854
19/12/2018 13:30;Sample;;smp12;363.35;20.24553271;0.004211574;82.75327334;79872.94333;1.123128775;4593.736068;1.123275877;76481641.08;0.084616051;477.9177082;0.084616208;36340.49333;0.540284971;280203.0967;0.202384643
19/12/2018 13:34;Sample;;smp13;1656.836667;2.372091535;0.065494174;2.843044772;1223975.817;0.189654486;70403.19272;0.189656107;4254.26;18.96520361;0.025695259;19.6211864;35801.57;1.498900283;273802.7867;0.489322637
19/12/2018 13:38;Sample;;smp14;385.5766667;1.320649111;0.005264625;4.582536734;18567.28667;0.79329438;1067.399365;0.793741539;7817.17;1.757219176;0.047959177;1.789783507;35397.95667;1.187922869;275489.7367;0.654446768
19/12/2018 13:42;Sample;;smp15;1807384.193;0.19091431;85.61695043;0.190943306;58.17333333;14.03690463;2.744498432;17.11415814;3419.486667;1.71794792;0.020478927;1.792505319;34008.62;1.699696718;241836.7467;0.314192058
19/12/2018 13:46;Sample;;0;1182.32;9.185998075;0.043012601;11.96302224;16.99333333;46.6405423;0.375801099;121.3130024;166.6733333;12.48949642;0.000152742;85.16293466;36294.55333;0.793537828;267967.33;0.562933335
19/12/2018 13:50;Sample;;smp16;278763.5167;0.332846125;13.19420927;0.333174152;154.2533333;10.65993011;8.271075405;11.43536848;2817.1;4.932402584;0.016714732;5.194671637;36088.03333;0.996978505;265377.8733;0.697033392
19/12/2018 13:54;Sample;;smp17;22405.38;0.959763532;1.048515277;0.971666041;1653983.237;0.79286348;95137.46734;0.792868494;948431719.2;0.756889354;5926.560704;0.756889467;37498.60667;0.407281542;277205.0533;0.618189079
19/12/2018 13:58;Sample;;smp18;4124.136667;2.994700979;0.182389511;3.208203309;707210.83;0.304329757;40678.57286;0.304334258;353652208.1;0.939258289;2209.901576;0.939258667;37986.99333;0.393628333;279089.78;0.508333214
19/12/2018 14:02;Sample;;smp19;988.9633333;8.12709942;0.03385178;11.24888501;70664.69667;0.828615818;4064.072413;0.82873849;32898542.56;0.94422101;205.5755749;0.944225092;38337.69;1.212578859;283858.52;0.338615886
19/12/2018 14:06;Sample;;smp20;69202.37;0.910983605;3.265655438;0.914610953;180.3966667;2.877737293;9.774855006;3.054868766;19019.48333;2.981961242;0.11796021;3.004428724;37746.39333;0.576168878;278478.46;0.368985358
19/12/2018 14:10;Sample;;0;663.3733333;4.113485684;0.01842603;7.016353229;16.34333333;30.18085966;0.338412724;83.83952121;881.18;13.62212008;0.004617552;16.24404868;37121.75;0.299861913;273657.3567;0.32012845
19/12/2018 14:14;Sample;;Derive;22231.56667;1.011967688;1.040280377;1.024616952;2260.386667;1.252712415;129.4170786;1.258536325;162810.8933;0.791231071;1.016484195;0.791922887;36993.84667;0.775366294;276154.2333;0.203444251
19/12/2018 14:18;Sample;;0;554.4766667;6.021995883;0.013266742;11.92434899;16.34;30.21539511;0.338220989;83.96591089;471.1366667;10.83211144;0.002055272;15.5162707;36365.30333;1.231577778;270861.1033;0.80829575
19/12/2018 14:22;Sample;;smp21;2748.166667;5.097323365;0.117199029;5.662868389;224.8433333;6.773510903;12.33145289;7.103997993;10403.59;1.17728148;0.064121202;1.193599467;36419.71;1.135272893;272013.3267;0.347676551
19/12/2018 14:26;Sample;;smp22;716.7133333;4.922359099;0.020953164;7.977088111;1990296.893;0.24776588;114482.4227;0.247767182;1126913254;0.569312362;7041.856397;0.569312434;37807.43;1.066800568;274037.0733;1.318642225
19/12/2018 14:30;Sample;;smp23;542.2533333;13.36145745;0.012687627;27.0552092;679877.0067;0.577010709;39106.31559;0.577019587;330455397.3;0.526256945;2064.949309;0.526257171;38493.63;1.528781139;279451.3867;0.297633671
19/12/2018 14:34;Sample;;smp24;534.4733333;7.544634172;0.012319027;15.50825886;67362.13667;0.047497775;3874.107259;0.047505151;30625794.82;0.11005226;191.3736252;0.110052771;38751.25333;0.371615728;284096.07;0.555878245
19/12/2018 14:38;Sample;;smp25;1557.926667;1.819822365;0.060808032;2.208972388;142.4866667;16.06829286;7.594249957;17.34132617;4749.973333;7.481996196;0.028792874;7.712947497;37383.85333;1.002947066;276250.6333;0.9308074
19/12/2018 14:42;Sample;;0;461.14;3.010085795;0.008844653;7.43543057;13.72333333;51.53578589;0.187708814;216.7240352;940.0733333;3.995954954;0.004985565;4.708306176;37170.92333;0.787374023;270887.4767;0.931844846
19/12/2018 14:46;Sample;;smp26;633.37;2.93042174;0.017004537;5.171279651;1759953.007;0.318326168;101232.9096;0.31832806;1037123602;0.499220143;6480.778681;0.499220212;37488.89667;2.477334118;282123.75;4.098966993
19/12/2018 14:50;Sample;;smp27;592.26;1.299930345;0.015056835;2.422557178;357168.34;0.105491058;20543.9271;0.105494147;178931472.9;0.664241284;1118.106376;0.664241812;38280.67333;1.206991928;277004.4367;0.426349898
19/12/2018 14:54;Sample;;smp28;724.4933333;5.490084406;0.021321764;8.838234407;329.42;6.271582639;18.34676303;6.477253427;10794.07333;16.08076045;0.066561255;16.29548071;36972.86;0.32249484;273795.54;0.574528046
19/12/2018 14:58;Sample;;smp29;480.03;8.866198926;0.00973962;20.70327606;297.3933333;7.614050155;16.5045707;7.891616249;7302.383333;2.381764381;0.044742377;2.429075986;36656.95;1.325367029;273726.9633;0.986532551
19/12/2018 15:02;Sample;;smp30;418.9133333;0.919265631;0.006844044;2.665800329;1454380.673;0.427692812;83656.21286;0.427695888;6616156.983;0.595665467;41.34216322;0.595678273;37479.60333;0.629558023;268993.8667;0.192278177
19/12/2018 15:06;Sample;;0;440.0266667;8.017514994;0.007844348;21.30772723;27.45333333;39.7700577;0.977466327;64.24994021;968.9666667;6.584936543;0.005166113;7.717794879;36969.70333;0.352982449;271152.8133;0.320288216
19/12/2018 15:10;Sample;;Derive;22079.20333;0.941192351;1.033061732;0.953039153;2130.946667;4.358373994;121.9716152;4.379873112;156172.84;0.406646518;0.975004317;0.407017198;35793.09667;0.998042491;266756.24;0.204069976
19/12/2018 15:14;Sample;;0;354.4633333;8.737556081;0.003790543;38.71106475;14.38;68.6398845;0.225480659;251.796311;642.2666667;6.14827923;0.00312463;7.897090494;34930.64333;0.370873609;260586.8733;0.369631696
